ITEM_NUM,UCC,CONFIG,UOM,DESCR,REPACK,CONV_FACTOR,HEIGHT,WIDTH,LEN,MIN WGT,MAX WGT,TARE WGT
10007C9,90027182587504,IBP,CS,UNIV STEW MEAT CHOICE,9OW,1,12.625,19.5,23.5,21.55,26.33,5.5
10007C9,90027182587504,IBP,PAL,UNIV STEW MEAT CHOICE,,24,76,40,48,517.2,631.92,0
11917M3,90027182587603,IBP,CS,UNIV BNLS CHUCK ROAST,3OW,1,11.125,15.375,23,18.77,25.3,3.4
11917M3,90027182587603,IBP,PAL,UNIV BNLS CHUCK ROAST,,30,76,40,48,563.1,759,0
12007H8,90027182587641,IBP,CS,UNIV RIBEYE STEAK,8OW,1,8.625,19.5,23.5,10.61,14.35,4
12007H8,90027182587641,IBP,PAL,UNIV RIBEYE STEAK,,32,76,40,48,339.52,459.2,0
12107G8,90027182580260,IBP,CS,UNIV RIBEYE STEAK THIN CUT,8OW,1,8.625,19.5,23.5,5.3,7.18,3.9
12107G8,90027182580260,IBP,PAL,UNIV RIBEYE STEAK THIN CUT,,32,76,40,48,169.6,229.76,0
14007D1,90027182587689,IBP,CS,UNIV STRIP STEAK,10L,1,7.75,15.375,19.25,9.52,12.88,2.8
14007D1,90027182587689,IBP,PAL,UNIV STRIP STEAK,,48,76,40,48,456.96,618.24,0
14027E1,90027182587696,IBP,CS,UNIV LOIN T-BONE STEAK CH,10L,1,7.75,15.375,19.25,5,10.3,2.8
14027E1,90027182587696,IBP,PAL,UNIV LOIN T-BONE STEAK CH,,60,76,40,48,457.2,618,0
14037M3,90027182580277,IBP,CS,UNIV TOP SIRLOIN STEAK,3OW,1,6.625,15.3125,23.6875,9.72,13.16,3.4
14037M3,90027182580277,IBP,PAL,UNIV TOP SIRLOIN STEAK,,50,76,40,48,486,658,0
14057B9,90027182587733,IBP,CS,UNIV CUBED STEAK VP,9OW,1,12.625,19.5,23.5,3.32,15.32,5.4
14057B9,90027182587733,IBP,PAL,UNIV CUBED STEAK VP,,24,76,40,48,271.68,367.68,0
16077G9,90027182587818,IBP,CS,SIRLOIN TIP STK THIN,9OW,1,12.625,19.5,23.5,15.91,21.53,5.5
16077G9,90027182587818,IBP,PAL,SIRLOIN TIP STK THIN,,24,76,40,48,381.84,516.72,0
29019W1,90027182569005,IBP,CS,PORK NECKBONES UP TO 4%,1OW,1,11.625,15.375,19.25,19.04,26.88,3.6
29019W1,90027182569005,IBP,PAL,PORK NECKBONES UP TO 4%,,36,76,40,48,685.44,967.68,0
D0307AH,90027182006531,IBP,CS,BONE-IN BEEF SHANKS,MISC,1,9.1875,15.75,24.25,40,900,2.8
D0307AH,90027182006531,IBP,PAL,BONE-IN BEEF SHANKS,,25,76,40,48,1000,2250,0
D1134AH,90027182007767,IBP,CS,SHOULDER CLOD XT USDA SELECT,MISC,1,9.1875,15.75,24.25,42,84,2.8
D1134AH,90027182007767,IBP,PAL,SHOULDER CLOD XT USDA SELECT,,25,76,40,48,1050,2100,0
D1134AH,90027182007767,DAKOTA,CS,SHOULDER CLOD XT USDA SELECT,MISC,1,9.3125,15.8125,23.8125,42,100,2.9
D1134AH,90027182007767,DAKOTA,PAL,SHOULDER CLOD XT USDA SELECT,,30,76,40,48,1260,3000,0
D1163AE,90027182008191,IBP,CS,BNLS CHUCK ROLL TRIMMED N,MISC,1,42.25,39,47,1,3000,25.3
D1163AE,90027182008191,IBP,PAL,BNLS CHUCK ROLL TRIMMED N,,1,76,40,48,5,3000,0
D1163AE,90027182008191,DAKOTA,CS,BNLS CHUCK ROLL TRIMMED N,MISC,1,42.25,39,47,5,3000,25.3
D1163AE,90027182008191,DAKOTA,PAL,BNLS CHUCK ROLL TRIMMED N,,1,76,40,48,5,3000,0
